Produto,Marca,Categoria,Custo,Preco Venda,Venda Qtd,Venda R$ total,Lucro,Estoque físico Sistema,Estoque Financeiro,Contagem,Saldo Contagem físico,Estoque Contagem Financeiro,Cidade,Longitude,Latitude
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,6,390,2340,1560,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,4,440,1760,880,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,4,435,1740,870,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,5,480,2400,1440,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,2,678,1356,0,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,1.8,480,864,-96,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,7,333,2331,1665,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,8,99,792,594,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3,580,1740,580,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,486,26.3,28.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,471,5.2,9.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,5,360,1800,1080,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,499,5.9,12.12,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,490,7.8,30.11,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,9,15,135,105,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,488,30.11,29.3,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,440,1.7,2.2,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3,600,1800,600,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,477,25.2,16.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,2.7,560,15.7,20.6,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,470,4.10,9.3,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,450,1.12,15.6,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,466,23.5,2.11,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
